Nom_Hotel,Description,Note,Evaluation_Textuelle,Prix,Telephone,Distance,Equipements,Image_URL,Ville,Date_Extraction
Wazo Hotel,N/A,3.4,N/A,79.66,0651621409,5.4 km from centre,"Navette aéroport, Gym, Spa",https://cf.bstatic.com/xdata/images/hotel/square240/265383797.jpg?k=60ca5b8b795970baf8950e1ad281c491750b0ecc7cf304faad61c055b42bfa0d&o=,Marrakech,2025-05-12
Hotel Atlas,N/A,2.8,N/A,461.78,0661112303,1.2 km from centre,"Pet-friendly, Vue mer",https://cf.bstatic.com/xdata/images/hotel/square240/70264674.jpg?k=36cc01de9c262a356eab725c44305c50f3c74cde1bb1082be43a855793bea4aa&o=,Marrakech,2025-05-12
Savoy Le Grand Hotel Marrakech,N/A,3.5,N/A,294.31,0694276792,1.4 km from centre,"Restaurant, Bar",https://cf.bstatic.com/xdata/images/hotel/square240/674446591.jpg?k=1e6950ddbd3724004fb2f3ed481d2be61edc3d16e34a1a1510607676ebe92a9e&o=,Marrakech,2025-05-12
Hotel Central Palace,N/A,3.7,N/A,359.32,0758016597,1.2 km from centre,"Vue mer, Pet-friendly, Bar, Parking",https://cf.bstatic.com/xdata/images/hotel/square240/204402153.jpg?k=14b67ae739a7404f0009e6e607ff193abade6d6d7bb98d4666561bbafb715d31&o=,Marrakech,2025-05-12
Hotel Almas,N/A,3.4,N/A,451.26,0675697467,1.1 km from centre,"Wifi, Pet-friendly, Navette aéroport",https://cf.bstatic.com/xdata/images/hotel/square240/153430505.jpg?k=1f3722e4e294e31b23e19dc47b6c9bddec9a4a8d52319d2979f38789f6c401ca&o=,Marrakech,2025-05-12
Appartement Luxueux avec Piscine 10 minutes du centre ville,N/A,2.7,N/A,221.73,0781890104,5.4 km from centre,"Piscine, Navette aéroport",https://cf.bstatic.com/xdata/images/hotel/square240/584932966.jpg?k=3d478bc4f35a3f35de8293c7f5f377315987dcdc29021b65068f42976e996f54&o=,Marrakech,2025-05-12
Hotel Riu Tikida Palmeraie - All Inclusive,N/A,2.6,N/A,228.30,0799910476,6.5 km from centre,"Wifi, Climatisation",https://cf.bstatic.com/xdata/images/hotel/square240/256400073.jpg?k=5310adcc2380e6fa4f7f0d0fc7c2cf8a8f56c8780873d835dd1cdc643788c0b3&o=,Marrakech,2025-05-12
Kenzi Rose Garden,N/A,4.7,N/A,275.50,0511660049,0.8 km from centre,"Vue mer, Parking, Pet-friendly",https://cf.bstatic.com/xdata/images/hotel/square240/223085317.jpg?k=8da5f38b179c81907b98451863e4da60105830397441a5c851d4c09f03217263&o=,Marrakech,2025-05-12
Riad dar El Arsa Rooftop & jacuzzi,N/A,2.6,N/A,335.18,0581067907,1.4 km from centre,"Navette aéroport, Bar, Parking, Piscine",https://cf.bstatic.com/xdata/images/hotel/square240/227452295.jpg?k=ba27ded59c1e7ccf741de2b30d54867eba870f7580f1c2186d3a2feac1567894&o=,Marrakech,2025-05-12
Prestigia Golf Vue Atlas et Piscine,N/A,4.7,N/A,477.35,0614857960,3.4 km from centre,"Wifi, Parking",https://cf.bstatic.com/xdata/images/hotel/square240/559284573.jpg?k=be79b0a48104dfb5aab598f872f116c830bc9a652d6d8899a7e67915f2d59f00&o=,Marrakech,2025-05-12
